iter	Passed	Remaining
328	1796667	3686739
329	1800068	3676970
330	1803712	3667732
331	1807127	3658065
332	1810454	3648257
333	1814148	3639225
334	1818291	3631122
335	1821786	3621755
336	1825221	3612303
337	1828610	3602797
338	1832587	3594481
339	1836377	3585825
340	1840652	3578141
341	1844194	3569058
342	1847789	3560111
343	1851467	3551353
344	1855249	3542823
345	1858897	3534066
346	1862768	3525760
347	1866760	3517709
348	1870163	3508576
349	1874088	3500452
350	1877547	3491485
351	1881153	3482821
352	1884823	3474303
353	1888505	3465835
354	1892740	3458406
355	1896376	3449905
356	1900285	3441925
357	1904795	3435052
358	1908356	3426488
359	1912693	3419340
360	1916860	3411905
361	1920603	3403735
362	1924314	3395535
363	1928000	3387316
364	1932046	3379751
365	1936291	3372551
366	1940294	3364949
367	1944089	3357007
368	1948184	3349603
369	1952411	3342442
370	1957794	3337269
371	1961453	3329169
372	1965051	3320990
373	1968803	3313093
374	1972395	3304952
375	1976299	3297355
376	1980589	3290419
377	1984572	3282989
378	1988423	3275360
379	1992180	3267597
380	1995873	3259751
381	1999887	3252447
382	2003617	3244703
383	2007887	3237850
384	2012378	3231364
385	2016305	3223988
386	2020048	3216337
387	2024021	3209070
388	2027375	3200843
389	2031269	3193490
390	2035469	3186635
391	2039529	3179574
392	2043555	3172475
393	2047223	3164840
394	2050948	3157313
395	2054945	3150220
396	2058948	3143154
397	2063029	3136221
398	2066552	3128458
399	2070270	3121010
400	2074267	3113999
401	2078339	3107117
402	2082554	3100460
403	2086391	3093256
404	2090599	3086616
405	2094862	3080069
406	2098632	3072812
407	2102315	3065444
408	2106141	3058303
409	2110279	3051629
410	2114458	3045026
411	2118361	3038040
412	2122825	3031870
413	2126847	3025078
414	2130560	3017864
415	2134704	3011273
416	2138598	3004344
417	2142143	2996940
418	2146231	2990312
419	2149824	2983010
420	2153688	2976099
421	2158262	2970179
422	2162427	2963707
423	2166161	2956656
424	2170254	2950109
425	2173977	2943073
426	2178196	2936720
427	2182129	2929994
428	2186185	2923447
429	2190065	2916675
430	2193966	2909945
431	2197670	2902970
432	2201068	2895604
433	2204674	2888532
434	2208634	2881937
435	2213242	2876195
436	2216793	2869091
437	2220750	2862527
438	2224575	2855804
439	2228589	2849338
440	2232406	2842631
441	2236425	2836194
442	2242461	2832315
443	2246340	2825713
444	2249972	2818814
445	2253949	2812360
446	2257929	2805921
447	2262164	2799808
448	2265502	2792599
449	2269529	2786252
450	2273027	2779270
451	2276732	2772554
452	2280839	2766339
453	2288068	2763905
454	2292500	2758085
455	2299437	2755273
456	2303421	2748918
457	2307543	2742738
458	2311666	2736568
459	2315634	2730223
460	2319406	2723659
461	2323435	2717408
462	2327554	2711273
463	2331634	2705100
464	2335502	2698690
465	2339637	2692599
466	2344189	2686995
467	2347800	2680321
468	2351725	2674017
469	2355490	2667542
470	2359862	2661763
471	2363861	2655571
472	2367786	2649307
473	2371510	2642827
474	2375316	2636450
475	2379210	2630181
476	2383266	2624101
477	2387017	2617695
478	2390547	2611059
479	2394835	2605260
480	2398905	2599231
481	2403087	2593331
482	2407101	2587258
483	2411294	2581385
484	2415082	2575088
485	2418466	2568371
486	2422648	2562513
487	2425826	2555603
488	2429718	2549458
489	2433766	2543485
490	2437841	2537549
491	2441745	2531442
492	2445229	2524910
493	2449763	2519472
494	2453600	2513322
495	2457488	2507235
496	2461277	2501055
497	2464941	2494759
498	2469226	2489099
499	2472791	2482722
500	2477098	2477098
501	2480652	2470730
502	2484368	2464532
503	2488182	2458443
504	2491792	2452161
505	2495133	2445626
506	2498908	2439528
507	2503163	2433906
508	2507189	2428067
509	2510833	2421866
510	2515190	2416361
511	2519397	2410717
512	2523309	2404797
513	2527406	2399062
514	2531110	2392960
515	2534946	2386992
516	2538523	2380789
517	2542176	2374668
518	2545956	2368675
519	2550204	2363123
520	2553923	2357089
521	2558353	2351717
522	2562181	2345797
523	2566184	2340045
524	2570069	2334192
525	2574176	2328549
526	2578300	2322926
527	2582296	2317193
528	2586296	2311471
529	2589810	2305323
530	2593948	2299739
531	2597813	2293918
532	2601481	2287931
533	2605588	2282339
534	2609576	2276647
535	2613740	2271115
536	2617711	2265421
537	2621802	2259837
538	2625508	2253928
539	2629712	2248452
540	2634254	2243270
541	2638374	2237732
542	2642391	2232112
543	2646124	2226259
544	2650039	2220567
545	2653618	2214600
546	2657743	2209097
547	2662222	2203891
548	2666370	2198415
549	2669936	2192466
550	2674354	2187222
551	2678313	2181607
552	2682016	2175792
553	2685846	2170085
554	2689493	2164239
555	2693020	2158304
556	2696655	2152465
557	2700548	2146838
558	2704521	2141281
559	2708678	2135875
560	2712604	2130292
561	2716350	2124574
562	2720252	2118984
563	2724087	2113348
564	2727887	2107692
565	2731792	2102124
566	2736075	2096851
567	2740221	2091476
568	2744168	2085955
569	2748027	2080372
570	2752651	2075373
571	2756478	2069777
572	2760428	2064278
573	2764051	2058541
574	2767717	2052844
575	2772146	2047717
576	2776022	2042187
577	2780046	2036769
578	2784051	2031344
579	2787871	2025788
580	2792312	2020688
581	2796357	2015305
582	2800886	2010274
583	2804474	2004572
584	2808267	1999024
585	2812671	1993914
586	2816403	1988332
587	2820474	1982995
588	2826706	1979176
589	2830703	1973789
590	2834816	1968488
591	2839220	1963392
592	2843113	1957947
593	2846930	1952455
594	2850690	1946929
595	2855395	1942053
596	2859775	1936956
597	2863733	1931578
598	2867735	1926234
599	2871790	1920930
600	2875809	1915605
601	2880060	1910439
602	2884161	1905178
603	2888297	1899943
604	2892726	1894903
605	2896517	1889450
606	2900543	1884154
607	2904214	1878633
608	2908270	1873367
609	2912106	1867963
610	2915951	1862569
611	2921699	1858392
612	2925544	1853004
613	2929531	1847711
614	2933568	1842453
615	2937847	1837351
616	2941647	1831953
617	2945503	1826594
618	2949452	1821298
619	2953180	1815871
620	2957083	1810557
621	2960767	1805113
622	2964355	1799616
623	2968253	1794314
624	2972052	1788956
625	2976325	1783887
626	2980044	1778490
627	2983869	1773162
628	2987625	1767797
629	2991752	1762656
630	2995207	1757124
631	2998696	1751619
632	3002464	1746282
633	3006440	1741071
634	3010794	1736082
635	3014389	1730659
636	3018196	1725362
637	3022356	1720272
638	3026318	1715072
639	3030495	1709997
640	3034371	1704756
641	3038154	1699467
642	3042279	1694374
643	3046489	1689330
644	3050356	1684100
645	3053958	1678728
646	3057792	1673489
647	3061507	1668190
648	3065312	1662944
649	3069214	1657754
650	3072849	1652426
651	3076830	1647287
652	3080835	1642165
653	3084857	1637056
654	3088754	1631883
655	3093129	1626966
656	3097013	1621795
657	3101217	1616793
658	3104827	1611485
659	3109098	1606525
660	3113071	1601413
661	3116992	1596277
662	3120706	1591040
663	3125160	1586184
664	3129318	1581179
665	3133623	1576250
666	3137554	1571136
667	3141576	1566071
668	3145556	1560988
669	3149809	1556043
670	3153637	1550891
671	3157806	1545911
672	3161485	1540694
673	3165450	1535620
674	3169678	1530677
675	3173633	1525604
676	3181126	1522227
677	3184981	1517106
678	3189448	1512279
679	3193425	1507221
680	3197531	1502227
681	3201411	1497130
682	3205340	1492059
683	3208915	1486828
684	3212595	1481650
685	3216243	1476462
686	3220357	1471491
687	3224452	1466514
688	3228435	1461489
689	3232298	1456413
690	3236403	1451449
691	3241083	1446744
692	3244941	1441674
693	3248597	1436518
694	3252732	1431577
695	3256566	1426507
696	3261107	1421749
697	3265398	1416882
698	3269255	1411830
699	3273410	1406910
700	3277731	1402062
701	3281504	1396983
702	3285577	1392035
703	3289750	1387131
704	3293678	1382126
705	3297826	1377217
706	3301531	1372125
707	3305801	1367272
708	3309819	1362316
709	3314188	1357506
710	3317910	1352434
711	3322270	1347625
712	3326286	1342678
713	3330245	1337710
714	3333989	1332660
715	3338382	1327872
716	3342194	1322854
717	3346402	1317996
718	3350700	1313175
719	3354900	1308317
720	3359023	1303432
721	3363203	1298570
722	3367313	1293683
723	3371109	1288678
724	3375243	1283806
725	3379300	1278906
726	3383184	1273943
727	3386968	1268946
728	3390892	1264005
729	3394935	1259110
730	3398802	1254153
731	3402740	1249225
732	3406656	1244291
733	3410614	1239376
734	3414145	1234308
735	3418037	1229376
736	3422019	1224477
737	3425761	1219496
738	3430318	1214807
739	3434352	1209934
740	3438139	1204977
741	3442180	1200111
742	3446611	1195383
743	3450202	1190366
744	3453803	1185356
745	3458207	1180624
746	3461813	1175622
747	3465830	1170763
748	3469759	1165876
749	3473468	1160918
750	3477295	1156003
751	3481402	1151183
752	3485809	1146464
753	3490162	1141728
754	3494884	1137113
755	3499285	1132394
756	3503389	1127580
757	3507172	1122666
758	3511314	1117868
759	3515338	1113035
760	3519630	1108289
761	3523382	1103374
762	3527796	1098669
763	3531529	1093754
764	3535551	1088931
765	3539359	1084044
766	3543190	1079167
767	3547287	1074374
768	3550930	1069445
769	3554773	1064580
770	3558936	1059813
771	3562684	1054924
772	3566986	1050202
773	3570998	1045395
774	3574793	1040528
775	3578746	1035709
776	3583005	1030981
777	3587536	1026331
778	3591642	1021561
779	3595927	1016843
780	3599934	1012048
781	3604103	1007300
782	3609440	1002879
783	3614045	998252
784	3618184	993499
785	3622594	988820
786	3626836	984097
787	3631225	979414
788	3635572	974721
789	3639622	969950
790	3643827	965221
791	3648062	960502
792	3652497	955836
793	3656460	951048
794	3660557	946297
795	3664145	941417
796	3668721	936793
797	3672705	932018
798	3676722	927253
799	3681042	922566
800	3684953	917779
801	3689391	913124
802	3693509	908391
803	3697983	903746
804	3702211	899042
805	3706336	894315
806	3710472	889591
807	3714908	884940
808	3718832	880169
809	3722387	875313
810	3726380	870563
811	3730072	865745
812	3733901	860961
813	3737649	856161
814	3741193	851317
815	3744688	846465
816	3748410	841667
817	3752113	836868
818	3755941	832099
819	3759788	827337
820	3763156	822472
821	3766485	817603
822	3770830	812956
823	3774468	808158
824	3778335	803412
825	3782008	798628
826	3786193	793953
827	3789784	789156
828	3793570	784402
829	3797315	779642
830	3801120	774896
831	3805020	770172
832	3809043	765475
833	3813436	760853
834	3817124	756093
835	3820784	751329
836	3824357	746551
837	3828039	741797
838	3832420	737179
839	3835845	732380
840	3839571	727642
841	3843909	723021
842	3847604	718280
843	3851325	713547
844	3855121	708830
845	3858905	704113
846	3862816	699421
847	3866793	694743
848	3870531	690023
849	3874306	685313
850	3878192	680625
851	3881886	675904
852	3885742	671215
853	3889345	666484
854	3893483	661846
855	3897458	657182
856	3901605	652549
857	3905237	647831
858	3908842	643111
859	3912770	638447
860	3916702	633785
861	3920963	629177
862	3924809	624505
863	3929004	619889
864	3932819	615215
865	3936719	610556
866	3940496	605879
867	3944211	601196
868	3948215	596558
869	3951972	591885
870	3955649	587202
871	3959421	582535
872	3963016	577845
873	3966893	573197
874	3970578	568524
875	3974078	563828
876	3977733	559155
877	3981397	554486
878	3985280	549850
879	3989078	545204
880	3992860	540557
881	3997094	535974
882	4001121	531363
883	4004913	526723
884	4009298	522162
885	4013707	517604
886	4017299	512943
887	4020926	508288
888	4025052	503698
889	4029168	499108
890	4033044	494490
891	4036666	489842
892	4040558	485229
893	4044664	480643
894	4048496	476026
895	4052041	471378
896	4056236	466807
897	4060226	462213
898	4063587	457550
899	4067300	452928
900	4070831	448289
901	4074443	443661
902	4078910	439127
903	4082555	434507
904	4086223	429890
905	4090329	425321
906	4095906	420905
907	4100167	416352
908	4103576	411714
909	4107368	407117
910	4111271	402533
911	4114955	397929
912	4118525	393316
913	4122059	388702
914	4125661	384097
915	4129614	379526
916	4133305	374933
917	4137263	370366
918	4141697	365842
919	4145656	361277
920	4149520	356705
921	4154069	352192
922	4157847	347615
923	4161718	343048
924	4166117	338525
925	4169751	333941
926	4174140	329418
927	4178412	324887
928	4182124	320313
929	4186128	315763
930	4190236	311223
931	4194086	306664
932	4197980	302110
933	4201666	297542
934	4205614	292995
935	4209623	288453
936	4213228	283885
937	4217105	279338
938	4221100	274799
939	4224760	270240
940	4228601	265694
941	4232364	261145
942	4236216	256603
943	4240419	252084
944	4244352	247549
945	4248228	243013
946	4252249	238485
947	4256059	233948
948	4260108	229425
949	4264341	224912
950	4268511	220397
951	4272032	215850
952	4275963	211325
953	4279808	206797
954	4283657	202271
955	4287529	197747
956	4291081	193210
957	4294826	188684
958	4298517	184157
959	4302578	179648
960	4306374	175128
961	4310045	170605
962	4314239	166104
963	4318362	161601
964	4322062	157084
965	4325972	152575
966	4330286	148082
967	4334405	143582
968	4338402	139080
969	4342102	134569
970	4346523	130081
971	4350072	125569
972	4353678	121060
973	4357844	116567
974	4361701	112068
975	4365406	107566
976	4369129	103066
977	4372648	98563
978	4376063	94060
979	4380023	89571
980	4384019	85083
981	4387847	80593
982	4391748	76105
983	4395405	71615
984	4399297	67130
985	4403331	62649
986	4407157	58165
987	4410566	53678
988	4414280	49196
989	4418080	44717
990	4421943	40240
991	4425378	35760
992	4428940	31284
993	4432843	26811
994	4436999	22341
995	4441208	17872
996	4445076	13402
997	4449325	8934
998	4453042	4466
999	4456826	0
